"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Heat shock protein 75 kDa, mitochondrial","TRAP1","Q12931","CHEMBL1075132","Other cytosolic protein","0.0743922719035","6 /  0     "
"Heat shock protein HSP 90-beta","HSP90AB1","P08238","CHEMBL4303","Other cytosolic protein","0.0743922719035","56 /  0     "
"Matrix metalloproteinase 1","MMP1","P03956","CHEMBL332","Protease","0.0743922719035","197 /  0     "
"Cyclin-dependent kinase 1/cyclin B","CCNB3 CDK1 CCNB1 CCNB2","Q8WWL7 P06493 P14635 O95067","CHEMBL2094127","Other cytosolic protein","0.0743922719035","19 /  0     "
"Cyclin-dependent kinase 2/cyclin A","CDK2 CCNA1 CCNA2","P24941 P78396 P20248","CHEMBL2094128","Other cytosolic protein","0.0743922719035","52 /  0     "
"Ribosomal protein S6 kinase alpha 3","RPS6KA3","P51812","CHEMBL2345","Kinase","0.0743922719035","8 /  0     "
"Cyclin-dependent kinase 2","CDK2","P24941","CHEMBL301","Kinase","0.0743922719035","137 /  0     "
"Cyclin-dependent kinase 1","CDK1","P06493","CHEMBL308","Kinase","0.0743922719035","147 /  0     "
"Glycogen synthase kinase-3 beta","GSK3B","P49841","CHEMBL262","Kinase","0.0743922719035","112 /  3     "
"Phosphodiesterase 4D","PDE4D","Q08499","CHEMBL288","Phosphodiesterase","0.0743922719035","9 /  11     "
"Progesterone receptor","PGR","P06401","CHEMBL208","Nuclear receptor","0.0743922719035","28 /  40     "
"Ribosomal protein S6 kinase alpha 5","RPS6KA5","O75582","CHEMBL4237","Kinase","0.0743922719035","3 /  3     "
"Inhibitor of nuclear factor kappa B kinase beta subunit","IKBKB","O14920","CHEMBL1991","Kinase","0.0743922719035","21 /  6     "
"Kappa Opioid receptor","OPRK1","P41145","CHEMBL237","Family A G protein-coupled receptor","0.0743922719035","536 /  15     "
"MAP kinase ERK2","MAPK1","P28482","CHEMBL4040","Kinase","0.0743922719035","233 /  0     "
"Proto-oncogene vav","VAV1","P15498","CHEMBL3259472","Unclassified protein","0.0743922719035","1 /  1     "
"MAP kinase p38 alpha","MAPK14","Q16539","CHEMBL260","Kinase","0.0743922719035","205 /  0     "
"Arachidonate 5-lipoxygenase","ALOX5","P09917","CHEMBL215","Oxidoreductase","0.0743922719035","42 /  5     "
"Thrombin","F2","P00734","CHEMBL204","Protease","0.0743922719035","92 /  9     "
"P2X purinoceptor 3","P2RX3","P56373","CHEMBL2998","Ligand-gated ion channel","0.0743922719035","314 /  0     "
"11-beta-hydroxysteroid dehydrogenase 1","HSD11B1","P28845","CHEMBL4235","Enzyme","0.0743922719035","147 /  25     "
"Interleukin-8 receptor A","CXCR1","P25024","CHEMBL4029","Family A G protein-coupled receptor","0.0743922719035","61 /  2     "
"Period circadian protein homolog 2","PER2","O15055","CHEMBL3751648","Unclassified protein","0.0743922719035","16 /  0     "
"Nerve growth factor receptor Trk-A","NTRK1","P04629","CHEMBL2815","Kinase","0.0743922719035","145 /  0     "
"Protein-tyrosine phosphatase 2C","PTPN11","Q06124","CHEMBL3864","Phosphatase","0.0743922719035","2 /  2     "
"CDK8/Cyclin C","CCNC CDK8","P24863 P49336","CHEMBL3038474","Kinase","0.0743922719035","8 /  0     "
"PI3-kinase p110-alpha subunit","PIK3CA","P42336","CHEMBL4005","Enzyme","0.0743922719035","424 /  0     "
"Cell division protein kinase 8","CDK8","P49336","CHEMBL5719","Kinase","0.0743922719035","14 /  0     "
"PI3-kinase p110-delta subunit","PIK3CD","O00329","CHEMBL3130","Enzyme","0.0743922719035","88 /  0     "
"Apoptosis regulator Bcl-X","BCL2L1","Q07817","CHEMBL4625","Other ion channel","0.0743922719035","5 /  3     "
"Splicing factor 3B subunit 3","SF3B3","Q15393","CHEMBL1250378","Unclassified protein","0.0743922719035","1 /  9     "
"Tubulin--tyrosine ligase","TTL","Q8NG68","CHEMBL5549","Enzyme","0.0743922719035","7 /  14     "
"Bromodomain-containing protein 4","BRD4","O60885","CHEMBL1163125","Reader","0.0743922719035","43 /  0     "
"CREB-binding protein/p53","CREBBP","Q92793","CHEMBL5747","Writer","0.0743922719035","14 /  0     "
"Leucine-rich repeat serine/threonine-protein kinase 2","LRRK2","Q5S007","CHEMBL1075104","Kinase","0.0743922719035","117 /  0     "
"Renin","REN","P00797","CHEMBL286","Protease","0.0743922719035","440 /  0     "
"Thrombin and coagulation factor X","F10","P00742","CHEMBL244","Protease","0.0743922719035","150 /  0     "
"Poly [ADP-ribose] polymerase-1","PARP1","P09874","CHEMBL3105","Enzyme","0.0743922719035","86 /  0     "
"Transient receptor potential cation channel subfamily V member 4","TRPV4","Q9HBA0","CHEMBL3119","Voltage-gated ion channel","0.0743922719035","6 /  5     "
"MAP kinase ERK1","MAPK3","P27361","CHEMBL3385","Kinase","0.0743922719035","14 /  0     "
"Pyruvate dehydrogenase kinase isoform 1","PDK1","Q15118","CHEMBL4766","Kinase","0.0743922719035","13 /  0     "
"Adenosine A3 receptor","ADORA3","P0DMS8","CHEMBL256","Family A G protein-coupled receptor","0.0743922719035","216 /  0     "
"ADAM17","ADAM17","P78536","CHEMBL3706","Protease","0.0743922719035","113 /  0     "
"CDK2/Cyclin A","CCNA2 CDK2","P20248 P24941","CHEMBL3038469","Kinase","0.0743922719035","34 /  0     "
"Stem cell growth factor receptor","KIT","P10721","CHEMBL1936","Kinase","0.0743922719035","28 /  0     "
"Caspase-3","CASP3","P42574","CHEMBL2334","Protease","0.0743922719035","53 /  0     "
"Peptide N-myristoyltransferase 1","NMT1","P30419","CHEMBL2593","Enzyme","0.0743922719035","7 /  0     "
"Caspase-7","CASP7","P55210","CHEMBL3468","Protease","0.0743922719035","35 /  0     "
"PI3-kinase p110-beta subunit","PIK3CB","P42338","CHEMBL3145","Enzyme","0.0743922719035","115 /  0     "
"Brain adenylate cyclase 1","ADCY1","Q08828","CHEMBL2899","Enzyme","0.0743922719035","37 /  31     "
"Delta opioid receptor","OPRD1","P41143","CHEMBL236","Family A G protein-coupled receptor","0.0743922719035","501 /  1     "
"Potassium channel subfamily K member 3","KCNK3","O14649","CHEMBL2321613","Voltage-gated ion channel","0.0743922719035","26 /  0     "
"Macrophage colony stimulating factor receptor","CSF1R","P07333","CHEMBL1844","Kinase","0.0743922719035","62 /  0     "
"Mammalian target of Rapamycin (mTORC1)","FKBP1A MTOR","P62942 P42345","CHEMBL2221341","Kinase","0.0743922719035","15 /  0     "
"Sorbitol dehydrogenase","SORD","Q00796","CHEMBL2275","Enzyme","0.0743922719035","46 /  0     "
"Matrix metalloproteinase 3","MMP3","P08254","CHEMBL283","Protease","0.0743922719035","97 /  0     "
"Serine/threonine-protein kinase PIM1","PIM1","P11309","CHEMBL2147","Kinase","0.0743922719035","129 /  0     "
"Tyrosine-protein kinase JAK3","JAK3","P52333","CHEMBL2148","Kinase","0.0743922719035","144 /  0     "
"Tyrosine-protein kinase JAK2","JAK2","O60674","CHEMBL2971","Kinase","0.0743922719035","180 /  0     "
"Muscle glycogen synthase","GYS1","P13807","CHEMBL4000","Enzyme","0.0743922719035","5 /  0     "
"Serine/threonine-protein kinase PIM2","PIM2","Q9P1W9","CHEMBL4523","Kinase","0.0743922719035","95 /  0     "
"Serine/threonine-protein kinase Chk1","CHEK1","O14757","CHEMBL4630","Kinase","0.0743922719035","98 /  0     "
"P2X purinoceptor 7","P2RX7","Q99572","CHEMBL4805","Ligand-gated ion channel","0.0743922719035","24 /  0     "
"Serine/threonine-protein kinase PIM3","PIM3","Q86V86","CHEMBL5407","Kinase","0.0743922719035","69 /  0     "
"Beta secretase 2","BACE2","Q9Y5Z0","CHEMBL2525","Protease","0.0743922719035","71 /  0     "
"Nitric oxide synthase, inducible   (by homology)","NOS2","P35228","CHEMBL4481","Enzyme","0.0743922719035","13 /  13     "
"Peroxisome proliferator-activated receptor delta","PPARD","Q03181","CHEMBL3979","Nuclear receptor","0.0743922719035","0 /  3     "
"Histone deacetylase 6","HDAC6","Q9UBN7","CHEMBL1865","Eraser","0.0743922719035","51 /  0     "
"Cyclin-dependent kinase 4/cyclin D1","CCND1 CDK4","P24385 P11802","CHEMBL1907601","Kinase","0.0743922719035","52 /  0     "
"Histone deacetylase 2","HDAC2","Q92769","CHEMBL1937","Eraser","0.0743922719035","22 /  0     "
"Nociceptin receptor","OPRL1","P41146","CHEMBL2014","Family A G protein-coupled receptor","0.0743922719035","117 /  0     "
"Cyclin-dependent kinase 2/cyclin E","CCNE2 CDK2 CCNE1","O96020 P24941 P24864","CHEMBL2094126","Other cytosolic protein","0.0743922719035","60 /  0     "
"3-phosphoinositide dependent protein kinase-1","PDPK1","O15530","CHEMBL2534","Kinase","0.0743922719035","37 /  0     "
"Histone deacetylase 1","HDAC1","Q13547","CHEMBL325","Eraser","0.0743922719035","56 /  0     "
"Protein Wnt-3a","WNT3A","P56704","CHEMBL1255137","Unclassified protein","0.0743922719035","12 /  0     "
"c-Jun N-terminal kinase 1","MAPK8","P45983","CHEMBL2276","Kinase","0.0743922719035","50 /  0     "
"c-Jun N-terminal kinase 3","MAPK10","P53779","CHEMBL2637","Kinase","0.0743922719035","39 /  0     "
