node1,node2,experimental
ALK,KIT,0.392
ALK,PIK3CB,0.317
ALK,MERTK,0.394
ALK,TERT,0
ALK,CASP3,0.063
ALK,PTPN11,0.164
ALK,JAK1,0
ALK,RET,0.391
ALK,MTOR,0.104
ALK,JUN,0.139
ALK,HSP90AB1,0.237
ALK,SRC,0.316
ALK,PIK3CD,0.104
ALK,JAK2,0.27
ALK,VAV1,0.056
ALK,JAK3,0.486
ALOX5,IL1B,0
ALOX5,PPARG,0
ALOX5,PTGES,0
ALOX5,PTGS2,0
ALOX5,SYK,0
ALOX5,TBXAS1,0
ALOX5,PLA2G2A,0
AR,MAPK1,0.497
AR,AURKA,0
AR,RPS6KB1,0.068
AR,CDKN1B,0
AR,MAPK14,0.104
AR,NR3C1,0.213
AR,CDC25B,0.27
AR,MDM2,0.898
AR,CREBBP,0.788
AR,MAPK3,0.104
AR,BRD4,0.644
AR,PIK3CA,0.061
AR,CDK2,0.057
AR,IGF1R,0.077
AR,ERBB2,0.102
AR,WNT3A,0
AR,KIT,0.057
AR,BCL2L1,0.057
AR,FASN,0
AR,PRKCB,0.27
AR,CASP3,0.228
AR,PRKDC,0.496
AR,GSK3B,0.482
AR,PGR,0
AR,HDAC6,0.078
AR,MAK,0.27
AR,NR3C2,0.213
AR,CASP8,0.345
AR,MTOR,0.061
AR,PARP1,0
AR,PTGS2,0.056
AR,JUN,0.499
AR,HSP90AB1,0.285
AR,CDK9,0.27
AR,HDAC1,0.762
AR,SRC,0.839
AR,NTRK1,0.077
AR,HDAC2,0.298
AR,CYP19A1,0.073
AR,CDK1,0.226
AR,MAPK8,0
ATP12A,MTOR,0.058
ATP12A,IL1B,0
ATP12A,ABCB1,0.063
ATP12A,ADORA2A,0
ATP12A,REN,0
ATP12A,F2,0
ATP12A,PTGS2,0
ATP2A1,PYGM,0
ATP2A1,INSR,0.074
ATP2A1,EIF2AK3,0
ATP2A1,ABCB1,0.063
AURKA,HDAC2,0.27
AURKA,CASP3,0
AURKA,PGR,0
AURKA,AR,0
AURKA,PIK3CA,0.1
AURKA,PARP1,0.155
AURKA,CDKN1B,0.308
AURKA,BCL2L1,0.27
AURKA,CDK2,0.326
AURKA,MDM2,0.27
AURKA,PPP1CC,0.546
AURKA,TK1,0
AURKA,CDC25A,0
AURKA,CHEK1,0.128
AURKA,CDC25C,0
AURKA,HDAC6,0.27
AURKA,PAK1,0
AURKA,CDC25B,0.213
AURKA,GSK3B,0.689
AURKA,CDK1,0.326
AURKA,AURKB,0.308
AURKB,AURKA,0.308
AURKB,CDKN1B,0.091
AURKB,FLT3,0
AURKB,CDC25B,0
AURKB,MDM2,0
AURKB,CDK2,0.115
AURKB,ERBB2,0
AURKB,TK1,0
AURKB,CDC25A,0.27
AURKB,CASP3,0
AURKB,PRKDC,0.314
AURKB,HSD11B2,0
AURKB,PPP2CA,0.379
AURKB,PARP1,0.182
AURKB,MTOR,0.1
AURKB,HSP90AB1,0.743
AURKB,CHEK1,0.128
AURKB,CDC25C,0
AURKB,PPP1CC,0.519
AURKB,CDK1,0.326
AXL,PDGFRB,0.144
AXL,FLT4,0.4
AXL,PIK3CA,0.104
AXL,KIT,0.392
AXL,PIK3CB,0.104
AXL,MERTK,0.397
AXL,MTOR,0.104
AXL,CASP3,0.063
AXL,RET,0.389
AXL,NTRK1,0.398
AXL,PTPN11,0.243
AXL,JAK1,0.056
AXL,JAK2,0.056
AXL,SRC,0.494
BACE2,MDM2,0
BACE2,ADAM17,0
BCL2L1,MAPK1,0
BCL2L1,AURKA,0.27
BCL2L1,GSK3A,0.27
BCL2L1,RPS6KB1,0
BCL2L1,CDKN1B,0
BCL2L1,MAPK14,0.27
BCL2L1,NR3C1,0.149
BCL2L1,FLT3,0
BCL2L1,MDM2,0.176
BCL2L1,MAPK3,0
BCL2L1,IL1B,0
BCL2L1,PIK3CA,0.058
BCL2L1,CDK2,0.14
BCL2L1,IGF1R,0
BCL2L1,ERBB2,0
BCL2L1,PPARG,0.057
BCL2L1,KIT,0
BCL2L1,MAP2K1,0
BCL2L1,NTRK1,0
BCL2L1,PIM3,0
BCL2L1,TERT,0
BCL2L1,PDK1,0
BCL2L1,HSP90AB1,0
BCL2L1,TYK2,0.105
BCL2L1,SYK,0
BCL2L1,PGR,0.182
BCL2L1,PIM2,0
BCL2L1,JAK3,0
BCL2L1,PDPK1,0.27
BCL2L1,LCK,0
BCL2L1,CDC25A,0
BCL2L1,PRKCD,0
BCL2L1,ABCB1,0
BCL2L1,AR,0.057
BCL2L1,PRKDC,0.123
BCL2L1,ERN1,0.057
BCL2L1,CDC25C,0
BCL2L1,JAK1,0
BCL2L1,HDAC1,0
BCL2L1,IKBKB,0
BCL2L1,PTGS2,0
BCL2L1,EIF2AK3,0
BCL2L1,P2RX7,0
BCL2L1,PARP1,0
BCL2L1,JUN,0
BCL2L1,JAK2,0
BCL2L1,CHEK1,0.27
BCL2L1,SRC,0
BCL2L1,GSK3B,0.27
BCL2L1,CASP1,0.538
BCL2L1,CASP7,0.178
BCL2L1,MTOR,0.495
BCL2L1,MAPK10,0.056
BCL2L1,CDK1,0.281
BCL2L1,MAPK9,0.281
BCL2L1,CASP3,0.178
BCL2L1,PTPN11,0
BCL2L1,MAPK8,0.69
BCL2L1,CASP8,0.727
BRAF,MAPK1,0.835
BRAF,MAPK3,0.757
BRAF,PRKCQ,0.117
BRAF,PRKCG,0.061
BRAF,PIK3CA,0.188
BRAF,ERBB2,0.194
BRAF,PPARG,0.102
BRAF,TYK2,0.352
BRAF,TERT,0.132
BRAF,JAK2,0.184
BRAF,MAP3K1,0.505
BRAF,MTOR,0.104
BRAF,PTPN11,0.171
BRAF,SRC,0.427
BRAF,PRKCD,0.117
BRAF,PRKCH,0.117
BRAF,NTRK1,0.176
BRAF,HSP90AB1,0.383
BRAF,GSK3B,0
BRAF,PRKCE,0.526
BRAF,PRKCB,0.061
BRAF,PPP1CC,0.117
BRAF,PRKCA,0.285
BRAF,PPP2CA,0.424
BRAF,MAP2K1,0.993
BRD4,FLT3,0.059
BRD4,SIRT2,0.139
BRD4,MDM2,0
BRD4,CDK2,0.062
BRD4,MTOR,0.203
BRD4,CHEK1,0.188
BRD4,PIK3CA,0.203
BRD4,MAP2K1,0.224
BRD4,JUN,0.245
BRD4,HDAC6,0.171
BRD4,JAK2,0.12
BRD4,HDAC2,0.171
BRD4,HDAC1,0.171
BRD4,CDK8,0.308
BRD4,AR,0.644
BRD4,CDK9,0.893
CASP1,MAPK14,0.057
CASP1,MAPK3,0.057
CASP1,IL1B,0.773
CASP1,PAK1,0.213
CASP1,PPARG,0.06
CASP1,CCR1,0.056
CASP1,BCL2L1,0.538
CASP1,CASP3,0
CASP1,NOS2,0
CASP1,P2RX7,0
CASP1,CASP8,0.27
CASP1,TLR9,0.07
CASP1,MTOR,0.057
CASP1,PARP1,0.312
CASP1,PTGS2,0
CASP1,JUN,0.057
CASP1,SYK,0.339
CASP1,MAPK8,0
CASP1,ERN1,0.063
CASP1,IKBKB,0.103
CASP3,MAPK1,0.057
CASP3,AURKA,0
CASP3,RPS6KB1,0.064
CASP3,CDKN1B,0
CASP3,MAPK14,0.282
CASP3,NR3C1,0.06
CASP3,FLT3,0
CASP3,SIRT2,0
CASP3,MDM2,0.875
CASP3,MMP7,0
CASP3,PDGFRB,0
CASP3,MAPK3,0.057
CASP3,PRKCQ,0.213
CASP3,IL1B,0.056
CASP3,PRKCG,0
CASP3,PIK3CA,0.075
CASP3,CDK2,0.064
CASP3,IGF1R,0.063
CASP3,ERBB2,0.06
CASP3,REN,0.058
CASP3,PAK1,0
CASP3,PDCD4,0
CASP3,WNT3A,0.084
CASP3,PPARG,0.06
CASP3,KIT,0
CASP3,LRRK2,0.326
CASP3,MMP3,0
CASP3,AXL,0.063
CASP3,MAP2K1,0.058
CASP3,BCL2L1,0.178
CASP3,CDC25A,0
CASP3,PRKCB,0
CASP3,EIF2AK3,0
CASP3,TERT,0
CASP3,DPP4,0
CASP3,TLR9,0.07
CASP3,LCK,0.063
CASP3,CYP19A1,0
CASP3,ALK,0.063
CASP3,MAPK11,0.057
CASP3,MAP3K14,0.393
CASP3,MAPK10,0
CASP3,MMP1,0
CASP3,AURKB,0
CASP3,HDAC2,0
CASP3,HDAC6,0
CASP3,PGR,0.06
CASP3,PRKCZ,0.231
CASP3,JAK1,0.063
CASP3,NTRK1,0.063
CASP3,NOS2,0
CASP3,HDAC1,0
CASP3,ABCB1,0
CASP3,RET,0.27
CASP3,HSP90AB1,0.075
CASP3,IKBKB,0.103
CASP3,CDC25C,0
CASP3,JAK2,0.063
CASP3,MAPK9,0.27
CASP3,CHEK1,0
CASP3,SRC,0.063
CASP3,ERN1,0.063
CASP3,AR,0.228
CASP3,GSK3B,0.068
CASP3,MTOR,0.057
CASP3,PTGS2,0
CASP3,CDK1,0
CASP3,NMT1,0.29
CASP3,MAPK8,0.27
CASP3,JUN,0.057
CASP3,PRKCA,0
CASP3,CASP1,0
CASP3,CASP7,0.271
CASP3,MAP3K1,0
CASP3,PRKDC,0.496
CASP3,CASP8,0.768
CASP3,PRKCD,0
CASP3,PARP1,0.88
CASP7,RPS6KB1,0.132
CASP7,MDM2,0
CASP7,MAPK3,0.057
CASP7,IL1B,0.056
CASP7,CDK2,0
CASP7,ERBB2,0.117
CASP7,BCL2L1,0.178
CASP7,EIF2AK3,0
CASP7,CASP3,0.271
CASP7,CDC25C,0
CASP7,CASP8,0.488
CASP7,MTOR,0.142
CASP7,PARP1,0.719
CASP7,CHEK1,0
CASP7,ERN1,0.063
CASP7,MAPK8,0
CASP7,JUN,0.057
CASP7,CDK1,0
CASP7,MAP3K1,0
CASP8,MAPK1,0.282
CASP8,RPS6KB1,0.064
CASP8,CDKN1B,0.408
CASP8,MAPK14,0.282
CASP8,MDM2,0
CASP8,MAPK3,0.282
CASP8,IL1B,0.182
CASP8,PIK3CA,0.075
CASP8,CDK2,0
CASP8,IGF1R,0.063
CASP8,ERBB2,0.06
CASP8,PPARG,0.06
CASP8,LRRK2,0.326
CASP8,MAP2K1,0.058
CASP8,BCL2L1,0.727
CASP8,EIF2AK3,0
CASP8,TERT,0
CASP8,CASP3,0.768
CASP8,CDC25C,0
CASP8,GSK3B,0.068
CASP8,PRKCZ,0.231
CASP8,SYK,0.063
CASP8,JAK2,0.063
CASP8,TLR9,0.07
CASP8,PRKCD,0
CASP8,MAPK9,0
CASP8,CHEK1,0.128
CASP8,PTGS2,0
CASP8,CDK1,0
CASP8,ERN1,0.063
CASP8,MTOR,0.145
CASP8,MAP3K1,0
CASP8,JUN,0.057
CASP8,MAPK8,0.287
CASP8,PARP1,0.312
CASP8,CASP1,0.27
CASP8,MAP3K14,0.486
CASP8,CASP7,0.488
CASP8,IKBKB,0.317
CASP8,AR,0.345
CASP8,SRC,0.497
CCR1,IL1B,0
CCR1,GRK7,0.151
CCR1,CSF1R,0
CCR1,CASP1,0.056
CCR1,ITGAL,0
CCR1,JAK2,0.056
CCR1,JAK3,0.056
CDC25A,MAPK1,0.338
CDC25A,AURKA,0
CDC25A,CDKN1B,0
CDC25A,MAPK14,0.484
CDC25A,CDC25B,0
CDC25A,MDM2,0
CDC25A,PSMB1,0
CDC25A,MAPK3,0.323
CDC25A,CDK2,0.785
CDC25A,PDCD4,0
CDC25A,TK1,0
CDC25A,MAP2K1,0.309
CDC25A,BCL2L1,0
CDC25A,MAPK11,0.323
CDC25A,PIM2,0.151
CDC25A,PPP2CA,0.208
CDC25A,PIM3,0.151
CDC25A,MTOR,0.245
CDC25A,PTPN1,0.213
CDC25A,CASP3,0
CDC25A,SRC,0.336
CDC25A,PRKDC,0.225
CDC25A,PIM1,0.548
CDC25A,AURKB,0.27
CDC25A,PSMB8,0
CDC25A,PSMB5,0
CDC25A,PSMB2,0
CDC25A,CDC25C,0
CDC25A,CDK1,0.521
CDC25A,CHEK1,0.965
CDC25B,MAPK1,0.323
CDC25B,AURKA,0.213
CDC25B,CDKN1B,0
CDC25B,MAPK14,0.62
CDC25B,AR,0.27
CDC25B,PPP2CA,0.208
CDC25B,MAP2K1,0.309
CDC25B,MAPK3,0.323
CDC25B,PTPN1,0.213
CDC25B,CREBBP,0.213
CDC25B,AURKB,0
CDC25B,CDC25A,0
CDC25B,CDC25C,0
CDC25B,MAPK11,0.323
CDC25B,CHEK1,0.805
CDC25B,CDK1,0.787
CDC25B,CDK2,0.789
CDC25C,MAPK1,0.492
CDC25C,AURKA,0
CDC25C,CDKN1B,0
CDC25C,MAPK14,0.646
CDC25C,CDC25B,0
CDC25C,MDM2,0.27
CDC25C,MAPK3,0.484
CDC25C,CDK2,0.662
CDC25C,TK1,0
CDC25C,MAP2K1,0.309
CDC25C,BCL2L1,0
CDC25C,CDC25A,0
CDC25C,CASP3,0
CDC25C,PRKDC,0.17
CDC25C,AURKB,0
CDC25C,JUN,0
CDC25C,PIM2,0.151
CDC25C,CASP7,0
CDC25C,PIM3,0.151
CDC25C,MTOR,0.245
CDC25C,PIM1,0.151
CDC25C,ITK,0.072
CDC25C,PPP2CA,0.208
CDC25C,CASP8,0
CDC25C,LCK,0.238
CDC25C,PDPK1,0
CDC25C,PPP1CC,0.182
CDC25C,MAPK11,0.323
CDC25C,CHEK1,0.972
CDC25C,CDK1,0.798
CDK1,AURKA,0.326
CDK1,RPS6KB1,0.304
CDK1,CDKN1B,0.893
CDK1,CDC25B,0.787
CDK1,TRAP1,0.377
CDK1,MDM2,0
CDK1,CDK2,0.617
CDK1,TK1,0.213
CDK1,MAP2K1,0.103
CDK1,BCL2L1,0.281
CDK1,CDC25A,0.521
CDK1,PRKCE,0.073
CDK1,TERT,0
CDK1,CASP3,0
CDK1,PRKDC,0.091
CDK1,AURKB,0.326
CDK1,CDC25C,0.798
CDK1,HDAC6,0.292
CDK1,PPP1CC,0.312
CDK1,CASP8,0
CDK1,MTOR,0.092
CDK1,PARP1,0
CDK1,CASP7,0
CDK1,JUN,0.281
CDK1,HSP90AB1,0.249
CDK1,PTPN1,0.3
CDK1,CDK9,0
CDK1,HDAC1,0.104
CDK1,SRC,0.285
CDK1,AR,0.226
CDK1,CDK8,0.165
CDK1,HDAC2,0.104
CDK1,PPP2CA,0.149
CDK1,CHEK1,0.483
CDK2,MAPK1,0.235
CDK2,AURKA,0.326
CDK2,CDKN1B,0.998
CDK2,FLT3,0
CDK2,CDC25B,0.789
CDK2,SIRT2,0.297
CDK2,MDM2,0
CDK2,CREBBP,0.758
CDK2,MAPK3,0.235
CDK2,BRD4,0.062
CDK2,PIK3CA,0.091
CDK2,PTGS2,0
CDK2,PPARG,0.057
CDK2,TK1,0
CDK2,HDAC2,0.104
CDK2,PPP1CC,0.312
CDK2,HSP90AB1,0.335
CDK2,PRKDC,0.112
CDK2,PARP1,0.064
CDK2,CASP7,0
CDK2,AR,0.057
CDK2,LRRK2,0.536
CDK2,MTOR,0.092
CDK2,AURKB,0.115
CDK2,CASP8,0
CDK2,PPP2CA,0.545
CDK2,BCL2L1,0.14
CDK2,JUN,0.239
CDK2,CASP3,0.064
CDK2,PGR,0.494
CDK2,CHEK1,0.36
CDK2,CDK9,0
CDK2,CDK8,0.165
CDK2,TERT,0
CDK2,HDAC1,0.104
CDK2,CDC25C,0.662
CDK2,CDK1,0.617
CDK2,CDC25A,0.785
CDK8,CREBBP,0.285
CDK8,BRD4,0.308
CDK8,CDK2,0.165
CDK8,PPARG,0.138
CDK8,PARP1,0.486
CDK8,JUN,0.154
CDK8,CDK9,0.486
CDK8,CDK1,0.165
CDK9,MDM2,0.27
CDK9,CREBBP,0.059
CDK9,BRD4,0.893
CDK9,CDK2,0
CDK9,PRKDC,0.482
CDK9,PARP1,0.345
CDK9,HSP90AB1,0.638
CDK9,PIM2,0
CDK9,HDAC1,0
CDK9,AR,0.27
CDK9,CDK8,0.486
CDK9,CDK1,0
CDKL5,OPRD1,0
CDKN1B,MAPK1,0.057
CDKN1B,AURKA,0.308
CDKN1B,RPS6KB1,0
CDKN1B,PIM1,0.29
CDKN1B,HDAC1,0
CDKN1B,MAPK14,0.057
CDKN1B,AURKB,0.091
CDKN1B,RET,0
CDKN1B,SERPINA6,0
CDKN1B,GSK3B,0.059
CDKN1B,MAP2K1,0
CDKN1B,PIK3CA,0
CDKN1B,KIT,0
CDKN1B,AR,0
CDKN1B,CHEK1,0
CDKN1B,CDC25B,0
CDKN1B,CDC25C,0
CDKN1B,MAPK8,0.27
CDKN1B,MAPK3,0.057
CDKN1B,JUN,0
CDKN1B,MTOR,0
CDKN1B,BCL2L1,0
CDKN1B,MDM2,0.057
CDKN1B,IGF1R,0.283
CDKN1B,ERBB2,0
CDKN1B,CASP3,0
CDKN1B,CASP8,0.408
CDKN1B,PDPK1,0
CDKN1B,CDC25A,0
CDKN1B,FLT3,0
CDKN1B,TERT,0
CDKN1B,JAK2,0.345
CDKN1B,SRC,0.283
CDKN1B,CDK1,0.893
CDKN1B,CDK2,0.998
CES2,NR1I2,0.056
CFD,PPARG,0
CHEK1,MAPK1,0.355
CHEK1,AURKA,0.128
CHEK1,CDKN1B,0
CHEK1,CDC25B,0.805
CHEK1,MDM2,0
CHEK1,BRD4,0.188
CHEK1,PIK3CA,0.313
CHEK1,CDK2,0.36
CHEK1,KIT,0.057
CHEK1,PIK3CB,0.245
CHEK1,BCL2L1,0.27
CHEK1,CDC25A,0.965
CHEK1,TERT,0.115
CHEK1,CASP3,0
CHEK1,PRKDC,0.736
CHEK1,AURKB,0.128
CHEK1,CDC25C,0.972
CHEK1,PPP1CC,0.101
CHEK1,CASP8,0.128
CHEK1,PIK3CG,0.245
CHEK1,MTOR,0.513
CHEK1,PARP1,0.129
CHEK1,CASP7,0
CHEK1,JUN,0.129
CHEK1,HSP90AB1,0.431
CHEK1,HDAC1,0.057
CHEK1,CDK1,0.483
CHEK1,HDAC2,0.057
CHEK1,PPP2CA,0.101
CREBBP,MAPK1,0.526
CREBBP,MAPK14,0.114
CREBBP,NR3C1,0.845
CREBBP,CDC25B,0.213
CREBBP,TRAP1,0.061
CREBBP,SIRT2,0.139
CREBBP,MDM2,0.866
CREBBP,ERBB2,0.126
CREBBP,MTOR,0.203
CREBBP,JAK2,0.12
CREBBP,RPS6KA5,0.282
CREBBP,PRKCZ,0.182
CREBBP,GSK3B,0.12
CREBBP,CDK9,0.059
CREBBP,PIK3CA,0.203
CREBBP,RPS6KA3,0.345
CREBBP,MAPK3,0.526
CREBBP,CDK8,0.285
CREBBP,HDAC6,0.171
CREBBP,CDK2,0.758
CREBBP,IKBKB,0.75
CREBBP,SRC,0.528
CREBBP,HMGCR,0
CREBBP,IL1B,0
CREBBP,PARP1,0.502
CREBBP,PPARD,0.355
CREBBP,HDAC2,0.58
CREBBP,HDAC1,0.58
CREBBP,AR,0.788
CREBBP,JUN,0.887
CREBBP,PPARG,0.974
CSF1R,IL1B,0
CSF1R,PIK3CA,0.312
CSF1R,SYK,0.122
CSF1R,NOS2,0.105
CSF1R,MAP3K14,0
CSF1R,JUN,0.076
CSF1R,PIK3CG,0.097
CSF1R,TLR9,0.09
CSF1R,CXCR2,0
CSF1R,VAV1,0.152
CSF1R,PIK3CD,0.097
CSF1R,CCR1,0
CSF1R,PTPN11,0.06
CSF1R,SRC,0.767
CSF1R,PTPN1,0.06
CXCR1,IL1B,0
CXCR1,GRK7,0.151
CXCR1,ERBB2,0.061
CXCR1,ITGAL,0
CXCR1,F2,0.097
CXCR1,JAK3,0.056
CXCR1,JAK2,0.056
CXCR1,CXCR2,0.213
CXCR2,MAPK3,0
CXCR2,IL1B,0
CXCR2,GRK7,0.151
CXCR2,CSF1R,0
CXCR2,CXCR1,0.213
CXCR2,F2,0.097
CXCR2,SRC,0.056
CXCR2,TLR9,0
CXCR2,PTGS2,0.056
CXCR2,ITGAL,0
CXCR2,JAK3,0.056
CXCR2,JAK2,0.056
CXCR2,PPP2CA,0.226
CYP19A1,NR3C1,0.073
CYP19A1,MAPK3,0.057
CYP19A1,PIK3CA,0
CYP19A1,IGF1R,0.056
CYP19A1,ERBB2,0
CYP19A1,PPARG,0.073
CYP19A1,HMGCR,0
CYP19A1,CASP3,0
CYP19A1,HSD11B2,0.072
CYP19A1,PGR,0.073
CYP19A1,MTOR,0
CYP19A1,HSD11B1,0.056
CYP19A1,PTGS2,0
CYP19A1,JUN,0.061
CYP19A1,SRC,0.056
CYP19A1,AR,0.073
CYP19A1,TBXAS1,0.139
CYP51A1,FASN,0.056
CYP51A1,HSP90AB1,0.123
CYP51A1,HMGCR,0
DPP4,IL1B,0
DPP4,SLC5A4,0
DPP4,SLC5A1,0
DPP4,REN,0
DPP4,PPARG,0.078
DPP4,ADORA2B,0
DPP4,CASP3,0
DPP4,SLC5A2,0
DPP4,PTPN1,0
DPP4,ADORA3,0
DPP4,SRC,0
EDNRA,ERBB2,0.061
EDNRA,REN,0
EDNRA,ADCY1,0.056
EDNRA,F2,0.097
EDNRA,SRC,0.324
EDNRA,MAPK8,0.058
EDNRA,JAK2,0.056
EIF2AK3,IL1B,0
EIF2AK3,PIK3CA,0
EIF2AK3,PPARG,0
EIF2AK3,BCL2L1,0
EIF2AK3,ATP2A1,0
EIF2AK3,PTPN11,0
EIF2AK3,PTPN1,0.117
EIF2AK3,ERN1,0
EIF2AK3,PTGS2,0
EIF2AK3,CASP7,0
EIF2AK3,PARP1,0
EIF2AK3,CASP8,0
EIF2AK3,MTOR,0
EIF2AK3,JUN,0
EIF2AK3,IKBKB,0.213
EIF2AK3,CASP3,0
EPHB4,PIK3CA,0.104
EPHB4,PAK1,0.076
EPHB4,PIK3CB,0.104
EPHB4,SRC,0.069
ERBB2,MAPK1,0.318
ERBB2,CDKN1B,0
ERBB2,NR3C1,0.102
ERBB2,FLT3,0.277
ERBB2,MDM2,0
ERBB2,MMP7,0
ERBB2,PDGFRB,0.553
ERBB2,FLT4,0.456
ERBB2,CREBBP,0.126
ERBB2,MAPK3,0.318
ERBB2,IL1B,0
ERBB2,PIK3CA,0.12
ERBB2,IGF1R,0.534
ERBB2,PAK1,0.27
ERBB2,INSR,0.246
ERBB2,PRKDC,0.12
ERBB2,MERTK,0.376
ERBB2,BRAF,0.194
ERBB2,PPARD,0.102
ERBB2,EDNRA,0.061
ERBB2,HDAC1,0
ERBB2,MMP1,0
ERBB2,HDAC6,0.13
ERBB2,PTPN1,0.15
ERBB2,CASP7,0.117
ERBB2,AURKB,0
ERBB2,KIT,0.243
ERBB2,GSK3B,0.107
ERBB2,PPARG,0.102
ERBB2,ITK,0.444
ERBB2,PIK3CG,0.058
ERBB2,SYK,0.447
ERBB2,RET,0.277
ERBB2,WNT3A,0.212
ERBB2,ROS1,0.307
ERBB2,CASP8,0.06
ERBB2,IL6ST,0.27
ERBB2,TERT,0
ERBB2,ABCB1,0
ERBB2,FASN,0
ERBB2,NTRK1,0.377
ERBB2,PARP1,0
ERBB2,ALK,0.415
ERBB2,CXCR1,0.061
ERBB2,BCL2L1,0
ERBB2,JUN,0.139
ERBB2,CASP3,0.06
ERBB2,PTGS2,0.27
ERBB2,MTOR,0.058
ERBB2,VAV1,0.594
ERBB2,AR,0.102
ERBB2,CYP19A1,0
ERBB2,ADRB2,0.36
ERBB2,JAK3,0.107
ERBB2,PIK3CD,0.058
ERBB2,JAK1,0.302
ERBB2,HSP90AB1,0.713
ERBB2,PGR,0.316
ERBB2,MAPK8,0
ERBB2,MAP2K1,0.285
ERBB2,ADAM17,0
ERBB2,JAK2,0.32
ERBB2,PIK3CB,0.12
ERBB2,SRC,0.897
ERBB2,PTPN11,0.939
ERN1,IL1B,0.056
ERN1,BCL2L1,0.057
ERN1,EIF2AK3,0
ERN1,CASP3,0.063
ERN1,CASP8,0.063
ERN1,MTOR,0.104
ERN1,CASP7,0.063
ERN1,JUN,0.057
ERN1,HSP90AB1,0.161
ERN1,PTPN1,0.078
ERN1,CASP1,0.063
F10,F2,0
F10,NR1I2,0
F10,STK39,0
F10,PLA2G2A,0
F2,MAPK1,0.056
F2,ATP12A,0
F2,MAPK14,0.056
F2,MAPK3,0.056
F2,IL1B,0
F2,REN,0
F2,CXCR1,0.097
F2,F2RL1,0.213
F2,MAP2K1,0.147
F2,ADRB2,0.097
F2,HDAC2,0
F2,SERPINA6,0.12
F2,HDAC1,0
F2,CXCR2,0.097
F2,EDNRA,0.097
F2,F10,0
F2,SRC,0.056
F2RL1,NR1I2,0
F2RL1,TRPV4,0
F2RL1,F2,0.213
FASN,CYP51A1,0.056
FASN,RPS6KB1,0
FASN,MAPK3,0.27
FASN,ERBB2,0
FASN,PPARG,0
FASN,HMGCR,0
FASN,INSR,0
