"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"11-beta-hydroxysteroid dehydrogenase 1","HSD11B1","P28845","CHEMBL4235","Enzyme","0.125687252905","250 /  27     "
"Interleukin-8 receptor A","CXCR1","P25024","CHEMBL4029","Family A G protein-coupled receptor","0.125687252905","59 /  2     "
"Pregnane X receptor","NR1I2","O75469","CHEMBL3401","Nuclear receptor","0.125687252905","6 /  0     "
"Adenosine A1 receptor","ADORA1","P30542","CHEMBL226","Family A G protein-coupled receptor","0.125687252905","219 /  2     "
"Thrombin","F2","P00734","CHEMBL204","Protease","0.125687252905","66 /  9     "
"Programmed cell death protein 4","PDCD4","Q53EL6","CHEMBL1781868","Unclassified protein","0.125687252905","0 /  8     "
"Prostaglandin E synthase","PTGES","O14684","CHEMBL5658","Enzyme","0.125687252905","17 /  8     "
"Period circadian protein homolog 2","PER2","O15055","CHEMBL3751648","Unclassified protein","0.125687252905","16 /  0     "
"Matrix metalloproteinase 1","MMP1","P03956","CHEMBL332","Protease","0.125687252905","153 /  0     "
"Glycogen synthase kinase-3 beta","GSK3B","P49841","CHEMBL262","Kinase","0.125687252905","113 /  3     "
"Serine/threonine protein phosphatase 2A, catalytic subunit, alpha isoform","PPP2CA","P67775","CHEMBL4703","Phosphatase","0.125687252905","2 /  8     "
"Sarcoplasmic/endoplasmic reticulum calcium ATPase 1","ATP2A1","O14983","CHEMBL3136","Hydrolase","0.125687252905","0 /  4     "
"MAP kinase p38 alpha","MAPK14","Q16539","CHEMBL260","Kinase","0.125687252905","243 /  0     "
"Delta opioid receptor","OPRD1","P41143","CHEMBL236","Family A G protein-coupled receptor","0.125687252905","498 /  1     "
"Corticosteroid binding globulin","SERPINA6","P08185","CHEMBL2421","Secreted protein","0.125687252905","11 /  15     "
"Gamma-secretase","PSEN2 PSENEN NCSTN APH1A PSEN1 APH1B","P49810 Q9NZ42 Q92542 Q96BI3 P49768 Q8WW43","CHEMBL2094135","Protease","0.125687252905","114 /  0     "
"Protein-tyrosine phosphatase 2C","PTPN11","Q06124","CHEMBL3864","Phosphatase","0.125687252905","3 /  2     "
"Protein farnesyltransferase","FNTA FNTB","P49354 P49356","CHEMBL2094108","Enzyme","0.125687252905","34 /  10     "
"Ribosomal protein S6 kinase alpha 5","RPS6KA5","O75582","CHEMBL4237","Kinase","0.125687252905","5 /  3     "
"Bromodomain-containing protein 4","BRD4","O60885","CHEMBL1163125","Reader","0.125687252905","49 /  0     "
"P2X purinoceptor 3","P2RX3","P56373","CHEMBL2998","Ligand-gated ion channel","0.125687252905","306 /  0     "
"MAP kinase ERK2","MAPK1","P28482","CHEMBL4040","Kinase","0.125687252905","192 /  0     "
"CREB-binding protein/p53","CREBBP","Q92793","CHEMBL5747","Writer","0.125687252905","14 /  0     "
"Nerve growth factor receptor Trk-A","NTRK1","P04629","CHEMBL2815","Kinase","0.125687252905","142 /  0     "
"Proto-oncogene vav","VAV1","P15498","CHEMBL3259472","Unclassified protein","0.125687252905","1 /  1     "
"Leucine-rich repeat serine/threonine-protein kinase 2","LRRK2","Q5S007","CHEMBL1075104","Kinase","0.125687252905","109 /  0     "
"Voltage-gated potassium channel subunit Kv1.3","KCNA3","P22001","CHEMBL4633","Voltage-gated ion channel","0.125687252905","14 /  2     "
"Liver glycogen phosphorylase","PYGL","P06737","CHEMBL2568","Enzyme","0.125687252905","98 /  0     "
"Muscle glycogen phosphorylase","PYGM","P11217","CHEMBL3526","Enzyme","0.125687252905","2 /  0     "
"Cytochrome P450 51","CYP51A1","Q16850","CHEMBL3849","Cytochrome P450","0.125687252905","11 /  0     "
"Serine/threonine-protein kinase mTOR","MTOR","P42345","CHEMBL2842","Kinase","0.125687252905","186 /  0     "
"PI3-kinase p110-alpha subunit","PIK3CA","P42336","CHEMBL4005","Enzyme","0.125687252905","353 /  0     "
"Inosine-5'-monophosphate dehydrogenase 1","IMPDH1","P20839","CHEMBL1822","Oxidoreductase","0.125687252905","7 /  0     "
"Inosine-5'-monophosphate dehydrogenase 2","IMPDH2","P12268","CHEMBL2002","Oxidoreductase","0.125687252905","42 /  0     "
"Cyclin-dependent kinase 1/cyclin B","CCNB3 CDK1 CCNB1 CCNB2","Q8WWL7 P06493 P14635 O95067","CHEMBL2094127","Other cytosolic protein","0.125687252905","29 /  0     "
"Cyclin-dependent kinase 2/cyclin A","CDK2 CCNA1 CCNA2","P24941 P78396 P20248","CHEMBL2094128","Other cytosolic protein","0.125687252905","57 /  0     "
"Ribosomal protein S6 kinase alpha 3","RPS6KA3","P51812","CHEMBL2345","Kinase","0.125687252905","9 /  0     "
"CDK8/Cyclin C","CCNC CDK8","P24863 P49336","CHEMBL3038474","Kinase","0.125687252905","8 /  0     "
"MAP kinase p38 beta","MAPK11","Q15759","CHEMBL3961","Kinase","0.125687252905","21 /  0     "
"Cell division protein kinase 8","CDK8","P49336","CHEMBL5719","Kinase","0.125687252905","16 /  0     "
"Leukocyte adhesion glycoprotein LFA-1 alpha","ITGAL","P20701","CHEMBL1803","Adhesion","0.125687252905","0 /  4     "
"Proto-oncogene c-JUN","JUN","P05412","CHEMBL4977","Transcription factor","0.125687252905","8 /  6     "
"Glycogen synthase kinase-3 alpha","GSK3A","P49840","CHEMBL2850","Kinase","0.125687252905","19 /  0     "
"Tyrosine-protein kinase JAK3","JAK3","P52333","CHEMBL2148","Kinase","0.125687252905","139 /  0     "
"PI3-kinase p110-beta subunit","PIK3CB","P42338","CHEMBL3145","Enzyme","0.125687252905","131 /  0     "
"Platelet-derived growth factor receptor beta","PDGFRB","P09619","CHEMBL1913","Kinase","0.125687252905","21 /  0     "
"Stem cell growth factor receptor","KIT","P10721","CHEMBL1936","Kinase","0.125687252905","37 /  0     "
"Phosphodiesterase 10A","PDE10A","Q9Y233","CHEMBL4409","Phosphodiesterase","0.125687252905","378 /  0     "
"LIM domain kinase 2","LIMK2","P53671","CHEMBL5932","Kinase","0.125687252905","11 /  0     "
"11-beta-hydroxysteroid dehydrogenase 2","HSD11B2","P80365","CHEMBL3746","Enzyme","0.125687252905","9 /  12     "
"Phosphodiesterase 2A","PDE2A","O00408","CHEMBL2652","Phosphodiesterase","0.125687252905","86 /  0     "
"p53-binding protein Mdm-2","MDM2","Q00987","CHEMBL5023","Other nuclear protein","0.125687252905","247 /  0     "
"Toll-like receptor (TLR7/TLR9)","TLR9","Q9NR96","CHEMBL5804","Toll-like and Il-1 receptors","0.125687252905","7 /  2     "
"Cyclin-dependent kinase 2","CDK2","P24941","CHEMBL301","Kinase","0.125687252905","139 /  0     "
"Cyclin-dependent kinase 1","CDK1","P06493","CHEMBL308","Kinase","0.125687252905","156 /  0     "
"NAD-dependent deacetylase sirtuin 2","SIRT2","Q8IXJ6","CHEMBL4462","Eraser","0.125687252905","5 /  0     "
"Peptide N-myristoyltransferase 1","NMT1","P30419","CHEMBL2593","Enzyme","0.125687252905","5 /  0     "
"Protein kinase C (PKC)","PRKCZ","Q05513","CHEMBL3438","Kinase","0.125687252905","3 /  0     "
"DNA-dependent protein kinase","PRKDC","P78527","CHEMBL3142","Kinase","0.125687252905","81 /  0     "
"Cyclin-dependent kinase 2/cyclin E1","CCNE1 CDK2","P24864 P24941","CHEMBL1907605","Kinase","0.125687252905","43 /  0     "
"Nociceptin receptor","OPRL1","P41146","CHEMBL2014","Family A G protein-coupled receptor","0.125687252905","183 /  0     "
"P2X purinoceptor 7","P2RX7","Q99572","CHEMBL4805","Ligand-gated ion channel","0.125687252905","27 /  0     "
"Cyclin-dependent kinase 4/cyclin D1","CCND1 CDK4","P24385 P11802","CHEMBL1907601","Kinase","0.125687252905","54 /  0     "
"Oxytocin receptor","OXTR","P30559","CHEMBL2049","Family A G protein-coupled receptor","0.125687252905","19 /  0     "
"Cyclin-dependent kinase 2/cyclin E","CCNE2 CDK2 CCNE1","O96020 P24941 P24864","CHEMBL2094126","Other cytosolic protein","0.125687252905","57 /  0     "
"Interleukin-1 beta","IL1B","P01584","CHEMBL1909490","Secreted protein","0.125687252905","3 /  3     "
"Thrombin and coagulation factor X","F10","P00742","CHEMBL244","Protease","0.125687252905","176 /  0     "
"Adenosine A2a receptor","ADORA2A","P29274","CHEMBL251","Family A G protein-coupled receptor","0.125687252905","153 /  0     "
"Dual specificity phosphatase Cdc25C","CDC25C","P30307","CHEMBL2378","Phosphatase","0.125687252905","0 /  4     "
"Insulin receptor","INSR","P06213","CHEMBL1981","Kinase","0.125687252905","16 /  0     "
